date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.42,2.95,1.75,0.91,2.04,0.623,317
2019-12-10T00:00:00.000Z,0.64,3.65,1.36,1.11,2.11,0.701,413
2019-12-11T00:00:00.000Z,0.74,4.74,2.22,1.77,2.6,0.687,431
2019-12-12T00:00:00.000Z,0.4,22.22,14.82,1.05,18.82,8.125,496
2019-12-13T00:00:00.000Z,3.44,20.16,9.68,7,13.42,4.241,559
2019-12-14T00:00:00.000Z,1.38,15.54,5.61,3.57,8.42,3.478,400
2019-12-15T00:00:00.000Z,0.68,11.53,2.49,1.65,3.61,1.56,581
2019-12-16T00:00:00.000Z,1.2,3.47,2,1.64,2.58,0.585,289
2019-12-17T00:00:00.000Z,1.31,8.9,4.61,3.66,5.85,1.655,290
2019-12-18T00:00:00.000Z,0.4,6.83,1.27,0.95,1.96,1.295,464
2019-12-19T00:00:00.000Z,0.88,12.32,3.78,1.91,5.72,2.504,552
2019-12-20T00:00:00.000Z,4.01,31.78,16.62,11,24.04,7.304,592
2019-12-21T00:00:00.000Z,11.86,42.82,31.04,28.1,37.06,6.302,579
2019-12-22T00:00:00.000Z,2.06,11.3,4.3,3.57,5.18,1.41,591
2019-12-23T00:00:00.000Z,1.54,8.94,3.4,2.52,4.13,1.25,591
2019-12-24T00:00:00.000Z,2.56,12.32,4.93,4.08,6.32,2.234,594
2019-12-25T00:00:00.000Z,0.62,13.3,6.11,4.07,8.98,3.139,586
2019-12-26T00:00:00.000Z,0.56,4.76,1.94,1.47,2.76,0.901,590
2019-12-27T00:00:00.000Z,0.64,3.7,2.27,1.73,2.64,0.685,590
2019-12-28T00:00:00.000Z,1.15,6.45,2.4,1.99,3,0.747,589
2019-12-29T00:00:00.000Z,2.2,17.07,8,3.94,11.5,4.28,591
2019-12-30T00:00:00.000Z,1.05,14.34,3.52,2.9,4.46,2.503,584
2019-12-31T00:00:00.000Z,0.44,21.04,0.88,0.7,1.08,1.81,572
2020-01-01T00:00:00.000Z,0.85,4.58,1.5,1.28,2.45,0.797,588
2020-01-02T00:00:00.000Z,1.3,10.74,6.44,4.92,7.79,2.156,575
2020-01-03T00:00:00.000Z,0.38,7.7,1.04,0.81,1.8,1.277,555
2020-01-04T00:00:00.000Z,0.45,2.29,0.88,0.72,1.13,0.365,559
2020-01-05T00:00:00.000Z,0.68,2.63,1.24,1.06,1.47,0.341,567
2020-01-06T00:00:00.000Z,0.47,4.07,2.04,1.5,2.42,0.659,524
2020-01-07T00:00:00.000Z,0.4,12.58,4.16,0.88,6.6,3.264,520
2020-01-08T00:00:00.000Z,0.74,4.2,2.52,2.31,2.83,0.509,513
2020-01-09T00:00:00.000Z,2.31,11.1,3.46,3.12,4.2,0.913,537
2020-01-10T00:00:00.000Z,1.75,7.8,3.55,2.78,4.62,1.269,430
2020-01-11T00:00:00.000Z,0.6,4.72,2.23,1.52,3.1,0.936,526
2020-01-12T00:00:00.000Z,0.3,3.76,1.63,0.8,2.02,0.688,573
2020-01-13T00:00:00.000Z,1.21,4.43,2.47,2.08,2.91,0.59,488
2020-01-14T00:00:00.000Z,1.85,11.25,4.01,2.5,5.37,2.005,445
2020-01-15T00:00:00.000Z,0.55,5.44,1.58,1.28,2.25,0.912,461
2020-01-16T00:00:00.000Z,0.8,5.63,3.45,2.45,4.03,1.11,478
2020-01-17T00:00:00.000Z,2.04,22.15,7.62,3.1,15.07,5.998,466
2020-01-18T00:00:00.000Z,0.6,28.22,10.31,1.34,17.16,7.783,504
2020-01-19T00:00:00.000Z,0.55,3.15,1,0.88,1.12,0.28,468
2020-01-20T00:00:00.000Z,0.75,3.36,1.93,1.59,2.45,0.581,367
2020-01-21T00:00:00.000Z,0.7,4.22,1.4,1,2.68,0.959,461
2020-01-22T00:00:00.000Z,0.62,1.13,0.8,0.7,0.95,0.158,19
2020-01-23T00:00:00.000Z,0.8,2.85,1.46,1.12,1.79,0.429,85
2020-01-24T00:00:00.000Z,0.86,2.54,1.56,1.4,1.78,0.313,267
2020-01-25T00:00:00.000Z,0.6,3.86,1.2,1,1.98,0.765,301
2020-01-26T00:00:00.000Z,0.7,3.04,1.41,1.15,1.88,0.493,310
2020-01-27T00:00:00.000Z,2.4,17.39,6.66,5.09,8.07,3.147,256
2020-01-28T00:00:00.000Z,3.16,17.82,9.59,7.96,11.23,3.077,272
2020-01-29T00:00:00.000Z,0.94,9.73,3.64,2.08,5.2,2.147,307
2020-01-30T00:00:00.000Z,1.49,8.19,3.45,2.42,5.92,1.866,292
2020-01-31T00:00:00.000Z,0.45,6.35,1.5,0.9,3.17,1.633,287
